2020-10-11 20:09:06.654 [Thread-10 River ferry returns from unloading and starts to load carsain] INFO  by.epam.thirdtask.entity.RiverFerry - Thread-10 River ferry returns from unloading and starts to load cars
2020-10-11 20:09:06.654 [Thread-10 by.epam.thirdtask.entity.impl.PassengerCar 3 5600 was loaded on the river ferryain] INFO  by.epam.thirdtask.entity.RiverFerry - Thread-10 by.epam.thirdtask.entity.impl.PassengerCar 3 5600 was loaded on the river ferry
2020-10-11 20:09:06.655 [Thread-11 by.epam.thirdtask.entity.impl.FreightCar 5 9000 was loaded on the river ferryain] INFO  by.epam.thirdtask.entity.RiverFerry - Thread-11 by.epam.thirdtask.entity.impl.FreightCar 5 9000 was loaded on the river ferry
2020-10-11 20:09:06.656 [Thread-12 River ferry is full and move to the unloadingain] INFO  by.epam.thirdtask.entity.RiverFerry - Thread-12 River ferry is full and move to the unloading
2020-10-11 20:09:26.658 [Thread-12 River ferry returns from unloading and starts to load carsain] INFO  by.epam.thirdtask.entity.RiverFerry - Thread-12 River ferry returns from unloading and starts to load cars
2020-10-11 20:09:26.658 [Thread-12 by.epam.thirdtask.entity.impl.PassengerCar 3 5600 was loaded on the river ferryain] INFO  by.epam.thirdtask.entity.RiverFerry - Thread-12 by.epam.thirdtask.entity.impl.PassengerCar 3 5600 was loaded on the river ferry
2020-10-11 20:09:26.658 [Thread-13 by.epam.thirdtask.entity.impl.FreightCar 5 9000 was loaded on the river ferryain] INFO  by.epam.thirdtask.entity.RiverFerry - Thread-13 by.epam.thirdtask.entity.impl.FreightCar 5 9000 was loaded on the river ferry
2020-10-11 20:09:26.658 [Thread-14 River ferry is full and move to the unloadingain] INFO  by.epam.thirdtask.entity.RiverFerry - Thread-14 River ferry is full and move to the unloading
2020-10-11 20:09:46.659 [Thread-14 River ferry returns from unloading and starts to load carsain] INFO  by.epam.thirdtask.entity.RiverFerry - Thread-14 River ferry returns from unloading and starts to load cars
2020-10-11 20:09:46.659 [Thread-14 by.epam.thirdtask.entity.impl.PassengerCar 3 5600 was loaded on the river ferryain] INFO  by.epam.thirdtask.entity.RiverFerry - Thread-14 by.epam.thirdtask.entity.impl.PassengerCar 3 5600 was loaded on the river ferry
2020-10-11 20:09:46.659 [Thread-15 by.epam.thirdtask.entity.impl.FreightCar 5 9000 was loaded on the river ferryain] INFO  by.epam.thirdtask.entity.RiverFerry - Thread-15 by.epam.thirdtask.entity.impl.FreightCar 5 9000 was loaded on the river ferry
2020-10-11 20:09:46.660 [Thread-16 River ferry is full and move to the unloadingain] INFO  by.epam.thirdtask.entity.RiverFerry - Thread-16 River ferry is full and move to the unloading
2020-10-11 20:10:06.661 [Thread-16 River ferry returns from unloading and starts to load carsain] INFO  by.epam.thirdtask.entity.RiverFerry - Thread-16 River ferry returns from unloading and starts to load cars
2020-10-11 20:10:06.661 [Thread-16 by.epam.thirdtask.entity.impl.PassengerCar 3 5600 was loaded on the river ferryain] INFO  by.epam.thirdtask.entity.RiverFerry - Thread-16 by.epam.thirdtask.entity.impl.PassengerCar 3 5600 was loaded on the river ferry
2020-10-11 20:10:06.662 [Thread-17 by.epam.thirdtask.entity.impl.FreightCar 5 9000 was loaded on the river ferryain] INFO  by.epam.thirdtask.entity.RiverFerry - Thread-17 by.epam.thirdtask.entity.impl.FreightCar 5 9000 was loaded on the river ferry
2020-10-11 20:10:06.663 [Thread-18 River ferry is full and move to the unloadingain] INFO  by.epam.thirdtask.entity.RiverFerry - Thread-18 River ferry is full and move to the unloading
2020-10-11 20:10:26.664 [Thread-18 River ferry returns from unloading and starts to load carsain] INFO  by.epam.thirdtask.entity.RiverFerry - Thread-18 River ferry returns from unloading and starts to load cars
2020-10-11 20:10:26.664 [Thread-18 by.epam.thirdtask.entity.impl.PassengerCar 3 5600 was loaded on the river ferryain] INFO  by.epam.thirdtask.entity.RiverFerry - Thread-18 by.epam.thirdtask.entity.impl.PassengerCar 3 5600 was loaded on the river ferry
2020-10-11 20:10:26.664 [Thread-19 by.epam.thirdtask.entity.impl.FreightCar 5 9000 was loaded on the river ferryain] INFO  by.epam.thirdtask.entity.RiverFerry - Thread-19 by.epam.thirdtask.entity.impl.FreightCar 5 9000 was loaded on the river ferry
